productId,productDisplayName,publisherDisplayName
c9d8cd28-dfa1-cc85-a14f-365edce9096f,Foxit PhantomPDF 10,Foxit Software
5f7f3ef9-5a56-a1e7-ce2a-365ee3378301,Foxit PhantomPDF Pro 10,Foxit Software
c4b93410-ef58-7d13-6ee8-365f08ab43e1,Frame App,Nutanix Inc.
c1558f52-9c2f-7989-969b-365d0a5d77c6,Free Countdown Timer,Comfort Software Group
df888437-d547-6411-5255-35e155c52665,FreeCAD,FreeCAD
7e82f3fc-fdf2-4c25-bb91-36d1c49d5094,Front Desktop,"FrontApp, Inc."
bf254e9a-b650-b009-5814-36e4e42eb7c7,FTP Rush v3,wftpserver.com
4d06c525-79e0-e00b-9405-373e61b6787f,Fusion,Freedom Scientific
261899fb-6fc9-b813-0c99-3729c6fa846c,Fuzzy Lookup Add-In For Excel,Microsoft
dabe1294-cc95-5b41-55c4-35e155c80fe2,FXHOME HitFilm Express,FXHOME
f25982a7-a68f-bdc7-2e08-35e155a5b526,Gadwin PrintScreen,Gadwin Systems
eab8126c-41f4-d624-2e1d-35e155a5c1aa,Gadwin PrintScreenPro,Gadwin Systems
1f4cfbe6-94d4-0480-2df3-35e155a5a5a7,Gadwin ScreenRecorder,Gadwin Systems
81062eff-f986-aa83-a0d0-36fbfe5dcb59,Galaxy Modeler,Bizagi Limited
3d1692e8-c111-3b07-f943-36cecbce5cdb,Garden Gnome Package Viewer,Garden Gnome GmbH
6f3e1ebb-f129-4136-eed4-3728ffa990fa,Garmin BaseCamp,Garmin
411e23e7-1785-3b0d-5c21-35e155ce9ed4,Garmin Express,Garmin
b3191091-3c37-9edf-292a-35f143b13ff3,General Workings Streamlabs OBS,"General Workings, Inc."
6137ecc4-4601-11b6-9eb6-367cbf614fd2,Genesys Cloud,Genesys
665bd2d4-46fe-687e-a6bd-3721ae0f597b,Genesys Cloud Background Assistant,Genesys
bed0fa4c-7645-bd9d-281a-35e1559ebfc5,GeoGebra 5,International GeoGebra Institute
1b645d58-6627-83ac-4b33-35e155c055d1,GeoGebra 6,International GeoGebra Institute
7fe6a4c5-bb41-7e3c-002c-3737575c58cc,Geomilieu,Informatiepunt Leefomgeving
14d22241-3009-3e61-aab9-371adb91a74b,Gephi,Gephi
551903a3-8f54-cf7b-03b1-35e155754106,GIMP,GIMP
31a4c766-f23d-8d41-4803-35e155be7389,Git,The Git Development Community
441e7257-2546-f91d-0369-3616f206eb05,GitHub CLI,"GitHub, Inc."
b257100b-ceb9-27ef-9627-3725a762c6ad,GnuPG VS-Desktop,g10 Code GmbH
3872d9a0-2c26-22cb-aa16-370374d97fc2,GoAnywhere OpenPGP Studio,"Fortra, LLC"
696fe299-a102-2e7a-1351-372dde95e9b4,GoLand,JetBrains
d252fc40-2e4b-9fca-fa6b-36cba8557014,GoLand 2017.3,JetBrains
a37c5b04-75b7-9f8b-d2d6-36cb865f5da6,GoLand 2021.1,JetBrains
1aa45228-42ad-3c85-5a85-36cb44871911,GoLand 2022.2,JetBrains
6587f611-9fc8-1d77-0acd-36e11241ed8d,Golden 6,Benthic Software
96b236d5-53c2-7503-5b51-36dcf781af70,Golden 7,Benthic Software
886071f5-004d-4bfb-0b7e-37316399853d,Golden 8,Benthic Software
e019e67c-b2e4-ef59-3f49-35e155b84467,GoodSync 12,Siber Systems Inc
89dbfccb-827c-0af1-4deb-3712ff2aa496,GoodSync Personal,Siber Systems Inc
3a9c6a1f-47f9-782e-2ab3-36c4d4d8bd39,Google Ads Editor,Google
aac896ca-f614-be0d-48b2-35e155bedc75,Google Backup and Sync,Google
7a8149b3-a012-9b5b-02af-35e15573a555,Google Chrome for Business,Google
